time(s);battery;orbit;obc;eps;communication;sdatf;slp;smdh;total_drop
1;19,239925;;;;;;;;7,388889E-5
2;19,239693;ecl;OBC_IDLE;On;Receiver;Off;Off;Off;2,3388889E-4
3;19,239237;ecl;OBC_IDLE;On;Receiver;Off;On;Off;4,561111E-4
4;19,23878;ecl;OBC_IDLE;On;Receiver;Off;On;Off;4,561111E-4
5;19,238323;ecl;OBC_IDLE;On;Receiver;Off;On;Off;4,561111E-4
6;19,237867;ecl;OBC_IDLE;On;Receiver;Off;On;Off;4,561111E-4
7;19,237411;ecl;OBC_IDLE;On;Receiver;Off;On;Off;4,561111E-4
8;19,236956;ecl;OBC_IDLE;On;Receiver;Off;On;Off;4,561111E-4
9;19,2365;ecl;OBC_IDLE;On;Receiver;Off;On;Off;4,561111E-4
10;19,236044;ecl;OBC_IDLE;On;Receiver;Off;On;Off;4,561111E-4
11;19,235588;ecl;OBC_IDLE;On;Receiver;Off;On;Off;4,561111E-4
